time,open,high,low,close,volume
2026-08-12T19:25:00.000Z,4416.460,4417.350,4415.710,4416.630,1392
2026-08-12T19:30:00.000Z,4416.650,4416.690,4413.390,4413.800,1681
2026-08-12T19:35:00.000Z,4413.770,4414.260,4411.400,4411.830,1708
2026-08-12T19:40:00.000Z,4411.880,4413.430,4411.370,4413.260,1726
2026-08-12T19:45:00.000Z,4413.240,4413.560,4408.320,4409.730,1842
2026-08-12T19:50:00.000Z,4409.760,4413.180,4409.760,4411.470,1922
2026-08-12T19:55:00.000Z,4411.450,4414.110,4411.020,4413.970,2162
2026-08-12T20:00:00.000Z,4413.920,4414.210,4411.130,4411.230,1035
2026-08-12T20:05:00.000Z,4411.530,4412.160,4410.160,4410.650,720
2026-08-12T20:10:00.000Z,4410.670,4411.040,4408.800,4409.050,631
2026-08-12T20:15:00.000Z,4409.020,4409.940,4407.160,4407.190,801
2026-08-12T20:20:00.000Z,4407.250,4408.200,4406.690,4408.080,660
2026-08-12T20:25:00.000Z,4407.880,4408.810,4407.190,4407.850,564
2026-08-12T20:30:00.000Z,4407.870,4407.960,4406.910,4407.210,608
2026-08-12T20:35:00.000Z,4407.220,4408.770,4406.840,4408.170,678
2026-08-12T20:40:00.000Z,4408.110,4408.670,4407.330,4407.980,467
2026-08-12T20:45:00.000Z,4408.030,4408.690,4406.930,4408.320,524
2026-08-12T20:50:00.000Z,4408.330,4408.800,4406.660,4407.500,427
2026-08-12T20:55:00.000Z,4407.400,4408.900,4407.400,4408.520,540
2026-08-12T22:00:00.000Z,4410.690,4411.400,4405.490,4405.490,1094
2026-08-12T22:05:00.000Z,4405.630,4405.770,4402.740,4404.060,702
2026-08-12T22:10:00.000Z,4404.070,4404.170,4402.540,4403.220,690
2026-08-12T22:15:00.000Z,4403.190,4403.220,4401.740,4402.310,492
2026-08-12T22:20:00.000Z,4402.380,4402.960,4401.850,4402.350,449
2026-08-12T22:25:00.000Z,4402.360,4402.860,4398.330,4399.420,795
2026-08-12T22:30:00.000Z,4399.350,4401.920,4399.060,4400.370,757
2026-08-12T22:35:00.000Z,4400.440,4401.100,4398.840,4399.620,654
2026-08-12T22:40:00.000Z,4399.580,4400.570,4399.430,4400.120,503
2026-08-12T22:45:00.000Z,4400.070,4401.330,4399.900,4400.570,512
2026-08-12T22:50:00.000Z,4400.580,4402.140,4400.580,4402.080,351
2026-08-12T22:55:00.000Z,4402.110,4403.030,4401.720,4402.260,408
2026-08-12T23:00:00.000Z,4401.660,4404.470,4401.660,4403.800,667
